127.0.0.1 - - [13/Dec/2018:11:29:26 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:29:28 +0900] "GET /MyJSP/ch02/ch0201first.html HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:37:58 +0900] "GET /MyJSP/ch02/ch0201first.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:43:07 +0900] "GET /MyJSP/ch02/ch0202ex_html1.html HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:55:59 +0900] "GET /MyJSP/ch02/ch0203ex_html2.html HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:55:59 +0900] "GET /MyJSP/ch02/picture1.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:55:59 +0900] "GET /MyJSP/ch02/picture2.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:16 +0900] "GET /MyJSP/ch02/ch0203ex_html2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:17 +0900] "GET /MyJSP/ch02/picture1.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:17 +0900] "GET /MyJSP/ch02/picture2.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:17 +0900] "GET /MyJSP/ch02/ch0203ex_html2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:17 +0900] "GET /MyJSP/ch02/picture2.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:17 +0900] "GET /MyJSP/ch02/picture1.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:19 +0900] "GET /MyJSP/ch02/ch0203ex_html2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:19 +0900] "GET /MyJSP/ch02/picture2.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:19 +0900] "GET /MyJSP/ch02/picture1.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:24 +0900] "GET /MyJSP/ch02/picture2.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:24 +0900] "GET /MyJSP/ch02/picture1.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:45 +0900] "GET /MyJSP/ch02/ch0203ex_html2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:45 +0900] "GET /MyJSP/ch02/picture2.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:45 +0900] "GET /MyJSP/ch02/picture1.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:57 +0900] "GET /MyJSP/ch02/ch0203ex_html2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:57 +0900] "GET /MyJSP/ch02/picture2.png HTTP/1.1" 200 26352
0:0:0:0:0:0:0:1 - - [13/Dec/2018:11:57:57 +0900] "GET /MyJSP/ch02/picture1.png HTTP/1.1" 200 39147
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:04:37 +0900] "GET /MyJSP/ch02/ch0204ex_html3.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:04:40 +0900] "GET /MyJSP/ch02/ch0205imgcont.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:05:47 +0900] "GET /MyJSP/ch02/ch0205imgcont.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:10:01 +0900] "GET /MyJSP/ch02/ch0205imgcont.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:13:50 +0900] "GET /MyJSP/ch02/ch0206ex_html4.html HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:24:27 +0900] "GET /MyJSP/ch02/ch0208ex_html.html HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:24:27 +0900] "GET /MyJSP/ch02/play1.mp3 HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:24:27 +0900] "GET /MyJSP/ch02/play1.mp3 HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:24:52 +0900] "GET /MyJSP/ch02/ch0208ex_html.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:24:52 +0900] "GET /MyJSP/ch02/play1.mp3 HTTP/1.1" 200 210370
0:0:0:0:0:0:0:1 - - [13/Dec/2018:12:24:52 +0900] "GET /MyJSP/ch02/play1.mp3 HTTP/1.1" 200 210370
